,tweet,O
0,,
1,Fully,O
2,funded,O
3,PhD,O
4,in,O
5,Antarctic,B-B-Field
6,Holocene,B-B-Field
7,marine,B-I-Field
8,geology,B-I-Field
9,and,B-I-Field
10,palaeoecology,B-I-Field
11,https://t.co/C4OWhWMCCf,B-B-Link
12,,
13,Bachelors,O
14,",",O
15,Masters,O
16,",",O
17,PhD,O
18,Scholarships,O
19,in,O
20,Canada,B-B-Country
21,2021,O
22,|,O
23,Fully,O
24,Funded,O
25,https://t.co/faBWbR7EPs,B-B-Link
26,,
27,Fully,O
28,-,O
29,funded,O
30,MSc,O
31,/,O
32,PhD,O
33,position,O
34,at,O
35,the,B-B-Univ
36,University,B-I-Univ
37,of,B-I-Univ
38,Haifa,B-I-Univ
39,",",O
40,Israel,B-B-Country
41,Suitable,O
42,for,O
43,students,O
44,with,O
45,background,O
46,(,O
47,&,O
48,amp,O
49,;,O
50,interest,O
51,),O
52,in,O
53,Microbiology,B-B-Field
54,",",B-I-Field
55,Microbial,B-I-Field
56,Ecology,B-I-Field
57,",",B-I-Field
58,Environmental,B-I-Field
59,toxicology,B-I-Field
60,&,O
61,amp,O
62,;,O
63,related,O
64,fields,O
65,.,O
66,Please,O
67,apply,O
68,👇,O
69,https://t.co/V5Evfer2pg,B-B-Link
70,,
71,We,O
72,have,O
73,3,O
74,fully,O
75,funded,O
76,#PhD,O
77,positions,O
78,for,O
79,a,O
80,person,O
81,interested,O
82,in,O
83,health,B-B-Field
84,research,B-I-Field
85,in,O
86,the,O
87,@hrbireland,B-B-Lab
88,@CARAnetwork1,B-B-Lab
89,project,O
90,.,O
91,Training,O
92,in,O
93,the,O
94,@sphereprogramme,B-B-Lab
95,.,O
96,Check,O
97,out,O
98,details,O
99,on,O
100,our,O
101,website,O
102,https://t.co/bljBJ8AldZ,B-B-Link
103,@drccostelloe,O
104,@mathieudaquin,O
105,@AjayOza_Actual,O
106,@ResearchatNUIG,O
107,https://t.co/B9wnS0i1RQ,B-B-Link
108,,
109,Fully,O
110,-,O
111,funded,O
112,Creative,O
113,Technology,O
114,PhD,O
115,Studentship,O
